episode,step,score,best_as,best_step,best_bcrs,best_mcrs,best_crs,best_score
213,1910,5.356908324082551,-4.258255761604428,1906,22.67939578294763,2.2831021065521018,24.96249788949973,20.704242127895306
214,1921,6.0520507357368984,-4.258255761604424,1916,22.679395782947633,2.2831021065521018,24.962497889499737,20.704242127895306
215,1933,5.798623743736002,-2.9591370656300278,1928,23.07249649767718,2.2873454950393732,25.359841992716554,22.400704927086526
216,1939,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
217,1946,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
218,1951,23.052815421913007,-22.5,1949,41.496317280453255,4.6620396600566565,46.15835694050991,23.65835694050991
219,1960,-18.655045136498543,-inf,0,-inf,-inf,-inf,0.0
220,1971,5.124955158787351,-2.9591370656300278,1967,23.072496497677182,2.2873454950393732,25.359841992716554,22.40070492708653
221,1979,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
222,1986,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
223,1996,5.356908324082551,-4.258255761604428,1992,22.67939578294763,2.2831021065521018,24.96249788949973,20.704242127895306
224,2004,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
225,2015,5.124955158787344,-4.258255761604424,2010,22.679395782947633,2.2831021065521018,24.962497889499737,20.704242127895306
226,2021,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
227,2029,28.94254146367446,-21.23465929584281,2029,45.11467919380212,5.062521565715154,50.17720075951727,28.94254146367446
228,2037,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
229,2045,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
230,2052,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
231,2062,5.356908324082551,-4.258255761604424,2058,22.679395782947633,2.2831021065521018,24.962497889499737,20.704242127895306
232,2071,-24.15298667393565,-inf,0,-inf,-inf,-inf,0.0
233,2078,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
234,2083,5.248552719274636,-2.959137065630027,2080,20.936543909348444,2.0920679886685556,23.028611898017,20.069474832386973
235,2094,-24.43839969040047,-inf,0,-inf,-inf,-inf,0.0
236,2104,-20.49937481551856,-inf,0,-inf,-inf,-inf,0.0
237,2109,-23.23398911045571,-inf,0,-inf,-inf,-inf,0.0
238,2120,-24.43839969040047,-inf,0,-inf,-inf,-inf,0.0
239,2130,5.356908324082551,-4.258255761604428,2126,22.679395782947633,2.2831021065521013,24.962497889499733,20.704242127895306
240,2143,5.124955158787348,-2.9591370656300278,2138,23.072496497677175,2.2873454950393732,25.359841992716547,22.400704927086526
241,2152,-24.15298667393565,-inf,0,-inf,-inf,-inf,0.0
242,2159,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
243,2169,5.855670169564174,-16.711051805665207,2166,22.781061334230728,2.2861701601083753,25.067231494339104,8.356179688673897
